0,1,2,3,4,5,6,length
0.83203125,3.84375,-0.9609375,2.25,-0.494140625,0.55859375,0.68359375,32
2.125,6.03125,2.203125,3.078125,1.5390625,2.5,2.171875,13
0.70703125,4.625,0.7109375,1.4453125,0.1943359375,0.396484375,0.45703125,78
2.296875,4.28125,2.15625,3.5625,1.3515625,1.6171875,2.078125,67
2.828125,6.65625,1.84375,3.078125,0.3515625,1.7734375,1.7734375,57
1.4296875,4.34375,0.8828125,3.4375,0.1396484375,1.6015625,1.6015625,222
0.67578125,5.71875,0.251953125,2.203125,-0.380859375,0.640625,0.96484375,165
1.0234375,4.53125,-1.25,2.5625,-1.359375,-0.0439453125,0.294921875,14
1.078125,4.09375,-1.3515625,1.671875,-0.73046875,1.1640625,0.734375,32
-2.59375,2.265625,-4.25,-2.515625,-3.640625,-4.65625,-2.5,9
1.3359375,3.828125,0.53515625,2.671875,1.3359375,1.265625,1.1875,27
1.5546875,5.625,0.87109375,2.734375,-0.2177734375,2.828125,1.1328125,59
-0.77734375,2.421875,-1.1484375,0.91015625,-2.046875,-0.765625,-0.73046875,74
2.265625,5.78125,2.890625,3.109375,1.59375,2.0,1.71875,156
-3.9375,1.25,-4.125,-1.875,-4.1875,-4.125,-2.703125,46
1.9609375,5.65625,1.0078125,2.328125,0.94140625,0.61328125,1.015625,36
0.306640625,4.5,0.435546875,1.6484375,-0.52734375,-0.78515625,0.279296875,138
1.109375,5.25,0.90625,3.34375,0.275390625,2.59375,0.734375,85
-1.9609375,2.3125,-2.953125,-0.2080078125,-2.859375,-2.0625,-1.7265625,564
0.1904296875,5.0625,0.8046875,1.59375,-0.076171875,0.17578125,0.169921875,214
1.6015625,4.96875,1.28125,3.25,-0.296875,1.6171875,0.73828125,124
0.01806640625,4.09375,-1.0546875,2.046875,-0.8515625,-0.828125,0.484375,38
-2.34375,1.75,-3.8125,-1.234375,-4.71875,-2.96875,-2.359375,73
2.03125,5.90625,2.03125,4.0,2.875,2.90625,2.1875,35
0.765625,5.25,0.4296875,1.9296875,1.09375,1.3203125,0.82421875,62
1.1953125,3.078125,-0.8125,2.0625,-0.318359375,1.6796875,1.0546875,180
0.04296875,2.15625,-0.6875,1.0859375,-1.625,-0.6484375,-0.99609375,79
-1.25,4.4375,0.466796875,0.83203125,0.4921875,-1.046875,-0.21484375,353
4.34375,8.6875,3.109375,5.03125,3.703125,3.625,3.8125,136
1.2109375,5.53125,1.328125,2.171875,0.09326171875,1.171875,1.1640625,29
-2.953125,-0.232421875,-4.28125,-1.9765625,-3.859375,-5.25,-3.078125,143
-1.5390625,2.671875,-1.65625,-0.87890625,-2.828125,-2.25,-2.25,279
-1.1875,3.15625,0.1318359375,0.275390625,-1.296875,-0.75390625,-0.486328125,75
1.21875,4.65625,-3.578125,2.640625,-2.46875,2.28125,-0.21875,125
-3.265625,0.1767578125,-3.53125,-0.875,-3.359375,-4.75,-2.8125,444
-1.3828125,3.109375,-1.1484375,1.28125,-1.3046875,-0.203125,-1.359375,88
1.375,3.375,-0.322265625,2.078125,-0.490234375,-0.1181640625,-0.349609375,77
0.4375,3.765625,-1.484375,1.890625,-0.83203125,0.2001953125,2.453125,37
-0.7734375,4.40625,-1.6953125,1.8984375,-1.3828125,-0.3984375,-0.6875,127
2.671875,5.09375,0.953125,3.234375,0.6875,1.046875,1.0703125,293
-3.84375,-1.171875,-4.78125,-1.53125,-4.15625,-5.625,-3.953125,220
-3.84375,-0.193359375,-4.8125,-2.90625,-6.0625,-6.21875,-4.75,262
-1.390625,4.40625,-1.5234375,1.046875,0.2431640625,-0.12353515625,-0.392578125,248
-4.5625,-0.65625,-5.9375,-2.34375,-5.28125,-5.03125,-4.40625,370
-0.1640625,3.890625,-0.77734375,1.578125,-0.2412109375,-0.396484375,-0.54296875,178
0.50390625,4.71875,-0.44140625,2.1875,-0.361328125,-0.87109375,1.390625,58
-0.026123046875,2.984375,-0.150390625,0.494140625,-2.15625,-1.3515625,-1.890625,283
-1.71875,0.7578125,-3.4375,-1.2265625,-3.203125,-2.234375,-2.4375,153
1.125,5.03125,0.578125,1.6953125,-0.00579833984375,1.1484375,1.3203125,59
1.15625,5.4375,-0.08984375,2.34375,0.5234375,0.94140625,0.859375,43
-5.84375,-0.6796875,-5.84375,-3.703125,-5.3125,-7.40625,-6.21875,830
2.71875,6.46875,2.921875,3.375,1.9375,2.875,1.84375,57
-1.203125,2.90625,-3.0,0.11865234375,-1.921875,-0.9140625,-1.5234375,66
-1.5234375,1.8984375,-0.6015625,-0.2060546875,-3.875,-1.7578125,-2.21875,111
